Launch,Launch Date (UTC),COSPAR,PL Name,Orig PL Name,SATCAT,LV Type,LV S/N,Site,Suc,Ref
,,1963-014G,West Ford 3 Telem Package,West Ford Telemetry Packa,S00629,,,,,
1963-015,1963 May 15 1304:13,1963-015A,Faith Seven,Mercury SC20,S00576,Atlas D,130D,CC LC14,S,KHR-1
1963-016,1963 May 18 2221:36,1963-016A,OPS 0924,LANYARD 2,S00578,Thor SLV-2A Agena D,364/FTV 1165,V 75-3-5,S,SAMOS
1963-017,1963 May 22 0300,1963-017A,Kosmos-17,DS-A1 No. 2,S00580,Kosmos 63S1,-,GTsP-4 Mayak-2,S,AVMDS
1963-018,1963 May 24 1034:06,1963-018A,Kosmos-18,Zenit-2 No. 11,S00586,Vostok 8A92,E 15000- 12,NIIP-5 LC1,S,TLE
1963-019,1963 Jun 12 2358:38,1963-019A,OPS 0954,CORONA M-21,S00590,Thor SLV-2A Agena D,362/FTV 1161,V 75-3-4,S,VCR
1963-020,1963 Jun 14 1158:58,1963-020A,Vostok-5,Vostok-3A No. 7,S00591,Vostok 8K72K,E103-24,NIIP-5 LC1,S,VSA074
1963-021,1963 Jun 15 1429,1963-021A,WILD BILL 4,AFTRACK 33/Mission 7216,S00593,Thor Agena D,378/FTV 2353,V 75-1-1,F,VCR
,,1963-021F,SURCAL,SURCAL,S00597,,,,,
,,1963-021E,NRL PL130,POPPY 2 SV3,S00598,,,,,
,,1963-021C,SR 6A,POPPY 2 SV1,S00599,,,,,
,,1963-021D,NRL PL112,POPPY 2 SV2,S00600,,,,,
,,1963-021B,Lofti IIA,Lofti IIA,S00601,,,,,
1963-022,1963 Jun 16 0149:52,1963-022A,Transit VA-3,Transit VA-3,S00594,Scout X-3,S120,PA LC-D,S,LAAFB
1963-023,1963 Jun 16 0929:52,1963-023A,Vostok-6,Vostok-3A No. 8,S00595,Vostok 8K72K,E103-25,NIIP-5 LC1,S,VSA074
1963-024,1963 Jun 19 0950:01,1963-024A,Tiros 7,Tiros G,S00604,Thor Delta B,359/D19,CC LC17B,S,TR-1022
1963-025,1963 Jun 27 0037:26,1963-025A,OPS 0999,CORONA M-22,S00609,Thor SLV-2A Agena D,381/FTV 1166,V 75-1-2,S,SAMOS
,,1963-025B,Hitchhiker 1,P-11 No. 4201,S00614,,,,,
1963-026,1963 Jun 28 2119:22,1963-026A,GRS,AFCRL A,S00612,Scout X-4,S113,WI LA3,S,LAAFB
1963-027,1963 Jun 29 2230,1963-027A,OPS 1440,Project 698BK Group 1-D,S00613,Thor SLV-2A Agena B,380/FTV 2314,V 75-3-5,S,VCR
1963-028,1963 Jul 12 2045:59,1963-028A,OPS 1467,GAMBIT SV 951,S00618,Atlas Agena D,201D,PA LC2-3,S,VCR
1963-029,1963 Jul 19 0000:10,1963-029A,OPS 1266,CORONA M-23,S00621,Thor Agena D,388/FTV 1412,V 75-1-1,S,VCR
1963-030,1963 Jul 19 0351:18,1963-030A,Midas 9,Midas ETS-III F4,S00622,Atlas Agena B,75D,PA LC1-2,S,VCR
,,1963-030D,DASH 2,DASH 2,S00624,,,,,
,,1963-030B,TRS 9,ERS 9,S00635,,,,,
1963-031,1963 Jul 26 1433:00,1963-031A,Syncom 2,Syncom 2,S00634,Thor Delta B,370/D20,CC LC17A,S,TR-1022
1963-032,1963 Jul 31 0000:26,1963-032A,OPS 1370,LANYARD 3,S00626,Thor SLV-2A Agena D,382/FTV 1167,V 75-1-2,S,SAMOS
1963-033,1963 Aug 6 0600,1963-033A,Kosmos-19,DS-P1 No. 3,S00632,Kosmos 63S1,-,GTsP-4 Mayak-2,S,AK15
1963-034,1963 Aug 25 0029:58,1963-034A,OPS 1419,CORONA J-1,S00636,Thor SLV-2A Agena D,377/FTV 1162,V 75-3-4,S,SAMOS
1963-035,1963 Aug 29 2031:04,1963-035A,OPS 1561,ARGON 11,S00637,Thor SLV-2 Agena D,394/FTV 1169,V 75-3-5,S,VCR
,,1963-035B,0.1 Square Meter Target,-,S00638,,,,,
1963-036,1963 Sep 6 1930:18,1963-036A,OPS 1947,GAMBIT SV 952,S00641,Atlas Agena D,212D,PA LC2-3,S,VCR
1963-037,1963 Sep 23 2300:00,1963-037A,OPS 1353,CORONA J-2,S00668,Thor SLV-2A Agena D,383/FTV 1163,V 75-1-2,S,VCR
1963-038,1963 Sep 28 2022,1963-038B,Transit VBN-1,Transit VBN-1,S00670,Thor Ablestar,375/AB013,V 75-1-1,S,VCR
,,1963-038C,Transit VE-1,APL SN-39,S00671,,,,,
1963-039,1963 Oct 17 0237,1963-039A,Vela 1A,Vela 1A,S00674,Atlas Agena D,197D,CC LC13,S,AP
,,1963-039B,ERS 12,ERS 12,S00675,,,,,
,,1963-039C,Vela 1B,Vela 1B,S00692,,,,,
1963-040,1963 Oct 18 0929:58,1963-040A,Kosmos-20,Zenit-2 No. 13,S00673,Vostok 8A92,G 15001- 01,NIIP-5 LC1,S,NK96-10-65
1963-041,1963 Oct 25 1859:27,1963-041A,OPS 2196,GAMBIT SV 953,S00677,Atlas Agena D,224D,PA LC2-3,S,VCR
1963-042,1963 Oct 29 2119:04,1963-042A,OPS 2437,ARGON 6,S00681,Thor SLV-2A Agena D,386/FTV 1601,V 75-3-4,S,SAMOS
,,1963-042B,PUNDIT I,P-11 No. 4001,S00682,,,,,
1963-043,1963 Nov 1 0856:38,1963-043A,Polyot,I-2B No. 102,S00683,Sputnik 11A59,E 15003- 02A,NIIP-5 LC31,S,AK13
1963-044,1963 Nov 11 0623:35,1963-044A,Kosmos-21,3MV-1 No. 1,S00687,Molniya 8K78,G 15000- 17/G10,NIIP-5 LC1,F,NK9701-29
1963-045,1963 Nov 16 1034:25,1963-045A,Kosmos-22,Zenit-4 No. 1,S00689,Voskhod 11A57,G 15000- 06,NIIP-5 LC1,S,AK15
1963-046,1963 Nov 27 0230:01,1963-046A,IMP 1,IMP A,S00693,Thor Delta C,387/D21,CC LC17B,S,TR-1022
1963-047,1963 Nov 27 1903:23,1963-047A,AC-2 Instrumentation Ring,AC-2,S00694,Atlas Centaur,AC-2,CC LC36A,S,TR-1022
1963-048,1963 Nov 27 2115:40,1963-048A,OPS 2260,CORONA M-25,S00695,Thor SLV-2 Agena D,406/FTV 1172,PA LC1-1,S,VCR
1963-049,1963 Dec 5 2151,1963-049B,Transit VBN-2,Transit VBN-2,S00704,Thor Ablestar,385/AB015,V 75-1-1,S,VCR
,,1963-049C,Transit VE-3,Transit VE-3,S00705,,,,,
1963-050,1963 Dec 13 1415:24,1963-050A,Kosmos-23,Omega-1 No. 2,S00707,Kosmos 63S1,-,GTsP-4 Mayak-2,S,AK15
1963-051,1963 Dec 18 2145:30,1963-051A,OPS 2372,GAMBIT SV 954,S00711,Atlas Agena D,227D,PA LC2-3,S,VCR
1963-052,1963 Dec 19 0928:58,1963-052A,Kosmos-24,Zenit-2 No. 15,S00712,Vostok 8A92,G 15001- 03,NIIP-5 LC1,S,NK96-10-65
1963-053,1963 Dec 19 1849:25,1963-053A,Explorer 19,AD-A,S00714,Scout X-4,S122R,PA LC-D,S,LAAFB
1963-054,1963 Dec 21 0930:00,1963-054A,Tiros 8,Tiros H,S00716,Thor Delta B,371/D22,CC LC17B,S,FlashFlight22
1963-055,1963 Dec 21 2145:42,1963-055A,OPS 1388,CORONA M-26,S00718,Thor SLV-2A Agena D,398/FTV 1168,V 75-1-2,S,VCR
,,1963-055B,PUNDIT II,P-11 No. 4101,S00719,,,,,
1964-001,1964 Jan 11 2007,1964-001A,HAYLOFT,AFTRACK 37/Mission 7210,S00727,Thor SLV-2A Agena D,390/FTV 2354,V 75-3-5,S,VCR
,,1964-001B,GGSE 1,POPPY 3 SV3,S00728,,,,,
,,1964-001C,EGRS I,Secor Type II S/N 2,S00729,,,,,
,,1964-001D,SR 7A,POPPY 3 SV1,S00730,,,,,
,,1964-001E,GREB,POPPY 3 SV2,S00731,,,,,
1964-002,1964 Jan 19 1059:54,1964-002B,OPS 3367A,P35-6,S00734,Thor SLV-2 Agena D,384/FTV 2303,V 75-1-2,S,VCR
,,1964-002C,OPS 3367B,P35-7,S00735,,,,,
1964-003,1964 Jan 21 2114:59,1964-003A,Relay 2,Relay B,S00737,Thor Delta B,373/D23,CC LC17B,S,TR-1022
1964-004,1964 Jan 25 1359:04,1964-004A,Echo 2,Echo C,S00740,Thor SLV-2 Agena B,397/FTV 6301 (T,V 75-1-1,S,VCR
1964-005,1964 Jan 29 1625:01,1964-005A,Jupiter Nosecone,Jupiter Nosecone/Ballast,A00436,Saturn I,SA-5,CC LC37B,S,SP-4205
1964-006,1964 Jan 30 0945:09,1964-006A,Elektron-1,2D No. 1,S00746,Vostok 8K72K,G103-18,NIIP-5 LC1,S,Energiya
,,1964-006B,Elektron-2,2D No. 2,S00748,,,,,
1964-007,1964 Jan 30 1549:09,1964-007A,Ranger 6,RA-6,S00747,Atlas Agena B,199D (AA8),CC LC12,S,TR-1022
1964-008,1964 Feb 15 2138:23,1964-008A,OPS 3444,CORONA J-5,S00752,Thor SLV-2A Agena D,389/FTV 1174,V 75-3-4,S,VCR
1964-009,1964 Feb 25 1859:47,1964-009A,OPS 2423,GAMBIT SV 955,S00754,Atlas Agena D,285D,PA LC2-3,S,VCR
1964-010,1964 Feb 27 1326?,1964-010A,Kosmos-25,DS-P1 No. 4,S00757,Kosmos 63S1,-,GTsP-4 Mayak-2,S,RAE
1964-011,1964 Feb 28 0320,1964-011A,OPS 3722,Project 698BK Group 1-A,S00759,Thor SLV-2A Agena D,402/FTV 2316,V 75-3-5,S,VCR
1964-012,1964 Mar 11 2014:24,1964-012A,OPS 3435,GAMBIT SV 956,S00764,Atlas Agena D,296D,PA LC2-3,S,VCR
1964-013,1964 Mar 18 1507?,1964-013A,Kosmos-26,DS-MG No. 1,S00766,Kosmos 63S1,-,GTsP-4 Mayak-2,S,RAE
1964-014,1964 Mar 27 0324:42,1964-014A,Kosmos-27,3MV-1 No. 3,S00772,Molniya 8K78,T 15000- 22,NIIP-5 LC1,F,NK9701-29
1964-015,1964 Mar 27 1725:23,1964-015A,Ariel 2,UK-C,S00771,Scout X-3,S127R,WI LA3,S,LAAFB
1964-016,1964 Apr 2 0242:40,1964-016D,Zond,3MV-1 No. 4,S00785,Molniya 8K78,G 15000- 28/23,NIIP-5 LC1,S,AK15
1964-017,1964 Apr 4 0945,1964-017A,Kosmos-28,Zenit-2 No. 16,S00779,Vostok 8A92,G 15001- 04,NIIP-5 LC31,S,AK15
1964-018,1964 Apr 8 1600:01,1964-018A,Gemini I,Gemini SC1,S00782,Titan II GLV,GT-1,CC LC19,S,SP-4203
1964-019,1964 Apr 12 0930,1964-019A,Polyot-2,I-1B No. 112,S00784,Sputnik 11A59,T 15001- 01A,NIIP-5 LC31,S,Siddiqi
1964-020,1964 Apr 23 1843,1964-020A,OPS 3743,GAMBIT SV 957,S00786,Atlas Agena D,351D,PA LC2-3,S,VScrolls
1964-021,1964 Apr 25 1021,1964-021A,Kosmos-29,Zenit-2 No. 19,S00791,Vostok 8A92,R 15001- 01,NIIP-5 LC31,S,AK15
1964-022,1964 Apr 27 2323:43,1964-022A,OPS 2921,CORONA J-8,S00796,Thor SLV-2A Agena D,395/FTV 1604,V 75-3-4,S,VCR
1964-023,1964 May 18 0942,1964-023A,Kosmos-30,Zenit-4 No. 2,S00797,Voskhod 11A57,G 15000- 12,NIIP-5 LC1,S,AK15
1964-024,1964 May 19 1921:14,1964-024A,OPS 3592,GAMBIT SV 958,S00799,Atlas Agena D,350D,PA LC2-3,S,VCR
1964-025,1964 May 28 1707:00,1964-025A,Apollo BP-13,Apollo BP-13 CM,S00800,Saturn I,SA-6,CC LC37B,S,SP-4205
1964-026,1964 Jun 4 0350:55,1964-026A,Transit VC,Transit VC,S00801,Scout X-4,S125R,PA LC-D,S,LAAFB
1964-027,1964 Jun 4 2259,1964-027A,OPS 3483,CORONA J-9,S00802,Thor SLV-2A Agena D,403/FTV 1176,PA LC1-1,S,VCR
1964-028,1964 Jun 6 0600?,1964-028A,Kosmos-31,DS-MT No. 2,S00803,Kosmos 63S1,-,GTsP-4 Mayak-2,S,RAE
1964-029,1964 Jun 10 1100,1964-029A,Kosmos-32,Zenit-2 No. 18,S00807,Vostok 8A92,R 15001- 02,NIIP-5 LC31,S,AK15
1964-030,1964 Jun 13 1547,1964-030A,OPS 3236,ARGON 21,S00811,Thor SLV-2A Agena D,408/FTV 1606,V 75-1-2,S,VCR
1964-031,1964 Jun 18 0456:08,1964-031A,OPS 4467A,P35-8,S00812,Thor SLV-2 Agena D,407/FTV 2304,V 75-3-4,S,VCR
,,1964-031B,OPS 4467B,P35-9,S00813,,,,,
1964-032,1964 Jun 19 2318:07,1964-032A,OPS 3754,CORONA J-7,S00814,Thor SLV-2A Agena D,410/FTV 1609,V 75-1-1,S,PER
1964-033,1964 Jun 23 1000,1964-033A,Kosmos-33,Zenit-2 No. 20,S00816,Vostok 8A92,G 15001- 05,NIIP-5 LC31,S,AK15
1964-034,1964 Jul 1 1100,1964-034A,Kosmos-34,Zenit-4 No. 3,S00822,Voskhod 11A57,T 15000- 04,NIIP-5 LC1,S,AK15
1964-035,1964 Jul 2 2359:56,1964-035A,OPS 3395,Project 698BK Group 2-D,S00824,Thor SLV-2A Agena D,409/FTV 2315,V 75-3-5,S,VCR
1964-036,1964 Jul 6 1851:18,1964-036A,OPS 3684,GAMBIT SV 959,S00825,Atlas Agena D,352D,PA LC2-3,S,VCR
,,1964-036B,NOAH'S ARK,P-11 No. 4301,S00826,,,,,
1964-038,1964 Jul 10 2151:02,1964-038A,Elektron-3,2D No. 3,S00829,Vostok 8K72K,G103-19,NIIP-5 LC1,S,Energiya
,,1964-038B,Elektron-4,2D No. 4,S00830,,,,,
1964-037,1964 Jul 10 2314:04,1964-037A,OPS 3491,CORONA J-10,S00828,Thor SLV-2A Agena D,404/FTV 1177,PA LC1-1,S,PER
1964-039,1964 Jul 15 1127,1964-039A,Kosmos-35,Zenit-2 No. 21,S00833,Vostok 8A92,R 15001- 03,NIIP-5 LC31,S,AK15
1964-040,1964 Jul 17 0822,1964-040A,Vela 2A,Vela 2A,S00836,Atlas Agena D,216D,CC LC13,S,MR640727-22
,,1964-040B,Vela 2B,Vela 2B,S00837,,,,,
,,1964-040C,ERS 13,ERS 13,S00838,,,,,
1964-041,1964 Jul 28 1650:07,1964-041A,Ranger 7,Ranger 7,S00842,Atlas Agena B,250D (AA9),CC LC12,S,TR-1022
1964-042,1964 Jul 30 0336?,1964-042A,Kosmos-36,DS-P1-Yu No. 1,S00844,Kosmos 63S1,-,GTsP-4 Mayak-2,S,RAE
1964-043,1964 Aug 5 2315:35,1964-043A,OPS 3042,CORONA J-12,S00846,Thor SLV-2A Agena D,413/FTV 1605,V 75-3-4,S,VCR
1964-044,1964 Aug 14 0930,1964-044A,Kosmos-37,Zenit-2 No. 22,S00848,Vostok 8A92,R 15001- 04,NIIP-5 LC31,S,AK15
1964-045,1964 Aug 14 2200:13,1964-045A,OPS 3802,GAMBIT SV 960,S00850,Atlas SLV-3 Agena D,7101,VS PALC2-4,S,VCR
,,1964-045B,Hitchhiker 2,P-11 No. 4202,S00851,,,,,
1964-046,1964 Aug 18 0915,1964-046A,Kosmos-38,Strela-1,S00853,Kosmos 65S3,4000-000-02L,NIIP-5 LC41/15,S,RAE
,,1964-046B,Kosmos-39,Strela-1,S00854,,,,,
,,1964-046C,Kosmos-40,Strela-1,S00855,,,,,
1964-047,1964 Aug 19 1215:02,1964-047A,Syncom 3,Syncom C,S00858,Thor Delta D,417/D25,CC LC17A,S,TR-1022
1964-048,1964 Aug 21 1545,1964-048A,OPS 2739,ARGON 22,S00861,Thor SLV-2A Agena D,412/FTV 1603,V 75-1-2,S,VCR
1964-049,1964 Aug 22 0721,1964-049D,Kosmos-41,Molniya-1 11F67 No. 1,S00869,Molniya 8K78,G 15000- 19/R10,NIIP-5 LC1,S,AK15
1964-050,1964 Aug 22 1100,1964-050A,Kosmos-42,Strela-1,S00864,Kosmos 63S1,-,GTsP-4 Mayak-2,S,AK12
,,1964-050C,Kosmos-43,Strela-1,S00867,,,,,
1964-051,1964 Aug 25 1343,1964-051A,Explorer 20,NASA S-48,S00870,Scout X-4,S134R,VS PALC-D,S,Wire
1964-052,1964 Aug 28 0756:57,1964-052A,Nimbus 1,Nimbus A,S00872,Thor SLV-2 Agena B,399/FTV 6201 (T,V 75-1-1,S,VCR
1964-053,1964 Aug 28 1600,1964-053A,Kosmos-44,Meteor 11F614 No. 1,S00876,Vostok 8A92M,T 15000- 05,NIIP-5 LC31,S,AK15
1964-054,1964 Sep 5 0123,1964-054A,OGO 1,OGO A,S00879,Atlas Agena B,195D (AA10),CC LC12,S,TR-1022
1964-055,1964 Sep 13 0945,1964-055A,Kosmos-45,Zenit-4 No. 5,S00880,Voskhod 11A57,R 15001- 01,NIIP-5 LC1,S,AK15
1964-056,1964 Sep 14 2253:43,1964-056A,OPS 3497,CORONA J-11,S00882,Thor SLV-2A Agena D,405/FTV 1178,VS PALC1-1,S,PER
1964-057,1964 Sep 18 1622:43,1964-057A,Apollo BP-15,Apollo BP-15 CM,S00883,Saturn I,SA-7,CC LC37B,S,SP-4205
1964-058,1964 Sep 23 2005,1964-058A,OPS 4262,GAMBIT SV 962,S00884,Atlas SLV-3 Agena D,7102,VS PALC2-4,S,VScrolls
1964-059,1964 Sep 24 1204,1964-059A,Kosmos-46,Zenit-2 No. 23,S00885,Vostok 8A92,R 15001- 05,NIIP-5 LC31,S,AK15
1964-060,1964 Oct 4 0345:00,1964-060A,IMP 2,IMP B,S00889,Thor Delta C,392/D26,CC LC17A,S,TR-1022
1964-061,1964 Oct 5 2150:14,1964-061A,OPS 3333,CORONA J-3,S00890,Thor SLV-2A Agena D,421/FTV 1170,V 75-3-4,S,VCR
1964-062,1964 Oct 6 0700:00,1964-062A,Kosmos-47,Voskhod 3KV No. 2,S00891,Voskhod 11A57,R 15000- 02,NIIP-5 LC1,S,AK15
1964-063,1964 Oct 6 1704:21,1964-063B,NNS O-1,NNS O-1,S00897,Thor Ablestar,423/AB016,V 75-1-2,S,VCR
,,1964-063C,Dragsphere 1,Dragsphere,S00900,,,,,
,,1964-063E,Dragsphere 2,Dragsphere,S00902,,,,,
1964-064,1964 Oct 10 0301,1964-064A,Explorer 22,Beacon Explorer B,S00899,Scout X-4,S123R,VS PALC-D,S,Wire
1964-065,1964 Oct 12 0730:01,1964-065A,Voskhod,Voskhod 3KV No. 3,S00904,Voskhod 11A57,R 15000- 04,NIIP-5 LC1,S,VSA074
1964-066,1964 Oct 14 1000,1964-066A,Kosmos-48,Zenit-2 No. 24,S00908,Vostok 8A92,R 15002- 01,NIIP-5 LC31,S,AK15
1964-067,1964 Oct 17 2202:23,1964-067A,OPS 3559,CORONA J-13,S00911,Thor SLV-2A Agena D,418/FTV 1179,VS PALC1-1,S,VCR
1964-068,1964 Oct 23 1827,1964-068A,OPS 4384,GAMBIT SV 963,S00912,Atlas Agena D,353D,VS PALC2-3,S,DDNote
,,1964-068B,STEP 13,P-11 No. 4302,S00914,,,,,
1964-069,1964 Oct 24 0517,1964-069A,Kosmos-49,DS-MG No. 2,S00913,Kosmos 63S1,-,GTsP-4 Mayak-2,S,AK15
1964-070,1964 Oct 28 1040,1964-070A,Kosmos-50,Zenit-2 No. 25,S00919,Vostok 8A92,R 15002- 02,NIIP-5 LC31,S,AK15
1964-071,1964 Nov 2 2130:20,1964-071A,OPS 5434,CORONA J-15,S00921,Thor SLV-2A Agena D,420/FTV 1173,V 75-3-4,S,VCR
1964-072,1964 Nov 4 0212:11,1964-072A,OPS 3062,Project 698BK Group 3-D,S00922,Thor SLV-2A Agena D,430/FTV 2317,V 75-3-5,S,VCR
1964-073,1964 Nov 5 1922:05,1964-073A,Mariner 3,Mariner C-2,S00923,Atlas Agena D,289D (AA11),CC LC13,S,TR-1022
1964-074,1964 Nov 6 1202:01,1964-074A,Explorer 23,NASA S-55C,S00924,Scout X-4,S133R,WI LA3,S,TN-D-4284
1964-075,1964 Nov 18 2035:54,1964-075A,OPS 3360,CORONA J-16,S00930,Thor SLV-2A Agena D,416/FTV 1180,V 75-1-1,S,VCR
1964-076,1964 Nov 21 1709:39,1964-076A,Explorer 24,AD-B,S00931,Scout X-4,S135R,VS PALC-D,S,MOR S-863-64-02
,,1964-076B,Explorer 25,Injun 4,S00932,,,,,
1964-077,1964 Nov 28 1422:01,1964-077A,Mariner 4,Mariner C-3,S00938,Atlas Agena D,288D (AA12),CC LC12,S,TR-1022
1964-078,1964 Nov 30 1325,1964-078C,Zond-2,3MV-4A No. 2,S00945,Molniya 8K78,G 15000- 29,NIIP-5 LC1,S,AK15
1964-079,1964 Dec 4 1900,1964-079A,OPS 4439,GAMBIT SV 964,S00946,Atlas SLV-3 Agena D,7105,VS PALC2-4,S,VScrolls
1964-080,1964 Dec 9 2300,1964-080A,Kosmos-51,DS-MT No. 3,S00947,Kosmos 63S1,-,GTsP-4 LC86/1,S,AK15
1964-081,1964 Dec 10 1653:33,1964-081A,Titan 3A Fairing,Lead Dummy Payload,S00949,Titan IIIA,3A-1,CC LC20,S,Titan3Review
1964-082,1964 Dec 11 1425:02,1964-082A,Surveyor Mass Model,Surveyor Model,S00951,Atlas Centaur,AC-4,CC LC36A,S,TR-1022
1964-083,1964 Dec 13 0008:10,1964-083C,Transit VE-5,APL SN-43,S00959,Thor Ablestar,427/AB017,V 75-1-2,S,VCR
,,1964-083D,NNS O-2,NNS O-2,S00965,,,,,
1964-084,1964 Dec 15 2020:04,1964-084A,San Marco 1,San Marco 1,S00957,Scout X-4,S137R,WI LA3A,S,LAAFB
1964-085,1964 Dec 19 2110:16,1964-085A,OPS 3358,CORONA J-17,S00961,Thor SLV-2A Agena D,424/FTV 1607,V 75-3-4,S,VCR
1964-086,1964 Dec 21 0900:03,1964-086A,Explorer 26,EPE-D,S00963,Thor Delta C,393/D27,CC LC17A,S,TR-1022
1964-087,1964 Dec 21 1908:56,1964-087A,FTV 2355,QUILL,S00964,Thor SLV-2A Agena D,425/FTV 2355,V 75-1-1,S,VCR
1965-001,1965 Jan 11 0929:58,1965-001A,Kosmos-52,Zenit-2 No. 26,S00968,Vostok 8A92,R 15002- 03,NIIP-5 LC31,S,AK15
1965-002,1965 Jan 15 2100:44,1965-002A,OPS 3928,CORONA J-18,S00972,Thor SLV-2A Agena D,414/FTV 1608,V 75-3-5,S,VCR
1965-003,1965 Jan 19 0503:42,1965-003A,OPS 7040,DAPP 10,S00973,Thor MG-18,224,V 4300B6,S,VCR
1965-004,1965 Jan 22 0752:00,1965-004A,Tiros 9,Tiros I,S00978,Thor Delta C,374/D28,CC LC17A,F,TR-1022
1965-005,1965 Jan 23 2006,1965-005A,OPS 4703,GAMBIT SV 965,S00980,Atlas SLV-3 Agena D,7106,VS PALC2-3,S,VScrolls
1965-006,1965 Jan 30 0936?,1965-006A,Kosmos-53,DS-A1 No. 5,S00983,Kosmos 63S1,-,GTsP-4 LC86/1,S,RAE
1965-007,1965 Feb 3 1636:00,1965-007A,OSO 2,OSO B2,S00987,Thor Delta C,411/D29,CC LC17B,S,TR-1022
1965-008,1965 Feb 11 1519:05,1965-008A,Transtage Payload Truss,Payload Truss,S01001,Titan IIIA,3A-3,CC LC20,S,Titan3Review-2h
,,1965-008C,LES 1,LES 1,S01002,,,,,
1965-009,1965 Feb 16 1437:03,1965-009A,Pegasus 1,Pegasus 1,S01085,Saturn I,SA-9,CC LC37B,S,SP-4205
,,1965-009B,Apollo BP-16,Apollo BP-16 CM,S01088,,,,,
1965-010,1965 Feb 17 1705:00,1965-010A,Ranger 8,RA-8,S01086,Atlas Agena B,196D (AA13),CC LC12,S,TR-1022
1965-011,1965 Feb 21 1100,1965-011A,Kosmos-54,Strela-1,S01089,Kosmos 65S3,4000-000-03L,NIIP-5 LC41/15,S,RAE
,,1965-011B,Kosmos-55,Strela-1,S01090,,,,,
,,1965-011C,Kosmos-56,Strela-1,S01091,,,,,
1965-012,1965 Feb 22 0730,1965-012A,Kosmos-57,Voskhod 3KD No. 1,S01093,Voskhod 11A57,R 15000- 03,NIIP-5 LC31,S,AK15
1965-013,1965 Feb 25 2144:55,1965-013A,OPS 4782,CORONA J-14,S01096,Thor SLV-2A Agena D,432/FTV 1611,VS PALC1-1,S,VCR
1965-014,1965 Feb 26 0501:32,1965-014A,Kosmos-58,Meteor 11F614 No. 2,S01097,Vostok 8A92M,R 15000- 09,NIIP-5 LC31,S,AK15
1965-015,1965 Mar 7 0859:28,1965-015A,Kosmos-59,Zenit-4 No. 11,S01191,Voskhod 11A57,R 15001- 05,NIIP-5 LC31,S,AK15
1965-016,1965 Mar 9 1829:47,1965-016E,EGRS III,Secor Type II S/N 1,S01208,Thor SLV-2 Agena D,419/FTV 2701,V 75-1-2,S,VCR
,,1965-016B,GGSE 2,POPPY 4 SV3,S01244,,,,,
,,1965-016A,GREB 6,POPPY 4 SV2,S01271,,,,,
,,1965-016H,Dodecapole I,Dodecapole I,S01272,,,,,
,,1965-016D,SR 7B,POPPY 4 SV1,S01291,,,,,
,,1965-016C,GGSE 3,POPPY 4 SV4,S01292,,,,,
,,1965-016F,OSCAR 3,OSCAR 3,S01293,,,,,
,,1965-016G,SURCAL 4,SURCAL,S01310,,,,,
1965-017,1965 Mar 11 1339:59,1965-017B,EGRS II,Secor Type II S/N 3,S01250,Thor Ablestar,440/AB018,V 75-1-1,S,VCR
,,1965-017A,NNS O-3,NNS O-3,S01303,,,,,
1965-018,1965 Mar 12 0925:31,1965-018A,Kosmos-60,E-6 No. 9,S01246,Molniya 8K78,G 15000- 24/R10,NIIP-5 LC1,F,AK15
1965-019,1965 Mar 12 1920,1965-019A,OPS 4920,GAMBIT SV 966,S01247,Atlas SLV-3 Agena D,7104,VS PALC2-3,S,VScrolls
1965-020,1965 Mar 15 1100,1965-020A,Kosmos-61,Strela-1,S01267,Kosmos 65S3,4000-000-04L,NIIP-5 LC41/15,S,RAE
,,1965-020B,Kosmos-62,Strela-1,S01268,,,,,
,,1965-020C,Kosmos-63,Strela-1,S01269,,,,,
1965-021,1965 Mar 18 0443:46,1965-021A,OPS 7353,DAPP 11,S01273,Thor MG-18,306,V 4300B6,S,VCR
1965-022,1965 Mar 18 0700:00,1965-022A,Voskhod-2,Voskhod 3KD No. 4,S01274,Voskhod 11A57,R 15000- 05,NIIP-5 LC1,S,VSA074
1965-023,1965 Mar 21 2137:02,1965-023A,Ranger 9,RA-9,S01294,Atlas Agena B,204D (AA14),CC LC12,S,TR-1022
1965-024,1965 Mar 23 1424:00,1965-024A,Gemini III,Gemini SC3,S01301,Titan II GLV,GT-3,CC LC19,S,SP-4203
1965-025,1965 Mar 25 1000,1965-025A,Kosmos-64,Zenit-2 No. 17,S01305,Vostok 8A92,G 15001- 06,NIIP-5 LC31,S,AK15
1965-026,1965 Mar 25 2111:17,1965-026A,OPS 4803,CORONA J-19,S01307,Thor SLV-2A Agena D,429/FTV 1612,V 75-3-4,S,VCR
1965-027,1965 Apr 3 2125,1965-027A,SNAPSHOT-1,SNAP-10A FS-4,S01314,Atlas SLV-3 Agena D,7401,VS PALC2-4,S,Wire
,,1965-027B,EGRS IV,Secor Type II S/N 5,S01315,,,,,
1965-028,1965 Apr 6 2347:50,1965-028A,Early Bird,INTELSAT I,S01317,Thor Delta D,426/D30,CC LC17A,S,TR-1022
1965-029,1965 Apr 17 0950,1965-029A,Kosmos-65,Zenit-4 No. 6,S01320,Voskhod 11A57,G 15000- 11,NIIP-5 LC31,S,AK15/RAE
1965-030,1965 Apr 23 0155:00,1965-030A,Molniya-1,Molniya-1 11F67 No. 3,S01324,Molniya 8K78,U 15000 -35/U10,NIIP-5 LC1,S,NK0506-68
